TP1: Wiretapping
sniff timeout = 1200 segs

----------Paquetes ARP capturados----------
The ip 172.16.0.1 is at mac 00:09:0f:09:00:06, telling ip 172.16.135.88, at mac ac:36:13:c7:9a:03
Who has? ip 172.16.135.88, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.88, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.146.78, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.146.78, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
The ip 172.16.0.1 is at mac 00:09:0f:09:00:06, telling ip 172.16.142.74, at mac 80:96:b1:bc:4e:f3
Who has? ip 172.16.136.29, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.143.61, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.136.53, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
The ip 172.16.0.1 is at mac 00:09:0f:09:00:06, telling ip 172.16.146.78, at mac e0:db:10:f6:b2:35
The ip 172.16.0.1 is at mac 00:09:0f:09:00:06, telling ip 172.16.145.247, at mac 6c:71:d9:b6:10:44
The ip 172.16.0.1 is at mac 00:09:0f:09:00:06, telling ip 172.16.145.247, at mac 6c:71:d9:b6:10:44
The ip 172.16.0.1 is at mac 00:09:0f:09:00:06, telling ip 172.16.145.247, at mac 6c:71:d9:b6:10:44
Who has? ip 172.16.145.111, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
The ip 172.16.0.1 is at mac 00:09:0f:09:00:06, telling ip 172.16.145.247, at mac 6c:71:d9:b6:10:44
The ip 172.16.0.1 is at mac 00:09:0f:09:00:06, telling ip 172.16.143.78, at mac e0:91:53:69:d7:d8
The ip 172.16.0.1 is at mac 00:09:0f:09:00:06, telling ip 172.16.143.78, at mac e0:91:53:69:d7:d8
Who has? ip 172.16.143.61, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
The ip 172.16.0.1 is at mac 00:09:0f:09:00:06, telling ip 172.16.143.78, at mac e0:91:53:69:d7:d8
Who has? ip 172.16.143.61, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.238, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.146.48, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.146.78, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.143.61, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
The ip 172.16.0.1 is at mac 00:09:0f:09:00:06, telling ip 172.16.134.131, at mac 44:74:6c:d8:be:c2
Who has? ip 172.16.136.53, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.136.53, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.143.61, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.143.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.7, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
The ip 172.16.0.1 is at mac 00:09:0f:09:00:06, telling ip 172.16.146.107, at mac 74:e2:8c:fd:09:c4
The ip 172.16.0.1 is at mac 00:09:0f:09:00:06, telling ip 172.16.136.53, at mac 40:6f:2a:89:74:c3
Who has? ip 172.16.145.111, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.145.247, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.0.1, tell ip 172.16.146.19, at mac 94:39:e5:57:d4:b4
The ip 172.16.0.1 is at mac 00:09:0f:09:00:06, telling ip 172.16.146.19, at mac 94:39:e5:57:d4:b4
Who has? ip 172.16.146.48, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.146.78, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.146.78, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.146.78, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.146.78, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.146.78, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.146.78, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.146.78, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.146.78, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.146.78, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.146.78, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.146.78, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.146.78, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.146.78, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.146.78, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.146.78, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.146.78, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.146.78, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.146.78, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.146.78, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.146.78, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.146.78, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.146.78, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.146.78, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.136.53, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.136.53, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
The ip 172.16.0.1 is at mac 00:09:0f:09:00:06, telling ip 172.16.135.88, at mac ac:36:13:c7:9a:03
Who has? ip 172.16.139.96, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
Who has? ip 172.16.135.88, tell ip 172.16.0.1, at mac 00:09:0f:09:00:06
